"CARRER","NOM_CARRER","PRIMER_NUM","ULTIM_NUM","TIPUSNUM","DISTRICTE","SECC_CENS","AEB","BARRI","SECC_EST","DPOSTAL"
"000102","Llebrencs","0001","0017","1","05","003","092","22","182","08017"
"000102","Llebrencs","0002","0026","2","05","003","092","22","182","08017"
"000180","A Zona Franca","0003","0119","1","03","025","060","12","061","08040"
"000180","A Zona Franca","0002","0106","2","03","025","060","12","061","08040"
"000204","Guerau de Liost","0001","0017","1","05","003","092","22","182","08017"
"000204","Guerau de Liost","0002","0022","2","05","003","092","22","182","08017"
"000306","Abat Odó","0001","0063","1","09","047","192","60","081","08030"
"000306","Abat Odó","0065","0089","1","09","048","192","60","084","08030"
"000306","Abat Odó","0002","0044","2","09","047","192","60","081","08030"
"000306","Abat Odó","0046","0068","2","09","046","192","60","084","08030"
"000408","Abat Samsó","0001","0023","1","05","012","095","23","162","08017"
"000408","Abat Samsó","0002B","0020","2","05","012","095","23","162","08017"
"000500","Abat Safont","0001","0011","1","01","004","002","01","102","08001"
"000500","Abat Safont","0002S","0012","2","01","004","002","01","102","08001"
"000601","Abadessa Olzet","0001","0007","1","04","055","090","21","077","08034"
"000601","Abadessa Olzet","0009B","0039","1","04","056","090","21","077","08034"
"000601","Abadessa Olzet","0002","0008","2","04","055","090","21","077","08034"
"000601","Abadessa Olzet","0010","0040","2","04","056","090","21","077","08034"
"000703","Abaixadors","0001","0015","1","01","046","016","04","030","08003"
"000703","Abaixadors","0002","0016","2","01","046","016","04","030","08003"
"000805","Abd el-Kader","0001","0019","1","07","017","137","33","077","08024"
"000805","Abd el-Kader","0002","0008","2","07","016","137","33","077","08024"
"000907","Abdó Terradas","0001","0027","1","06","058","129","31","013","08012"
"000907","Abdó Terradas","0002","0032","2","06","058","129","31","013","08012"
"001003","Abella","0001B","0005","1","08","048","166","47","085","08031"
"001003","Abella","0002B","0006","2","08","048","166","47","085","08031"
"001105","Manuel Ballbé","0001","0017","1","04","054","089","21","079","08034"
"001105","Manuel Ballbé","0002","0020","2","04","054","089","21","079","08034"
