OBJECTID,CODI_AJB,CODI_INE,GRUP_TVIA,T_Via,Desc_Via,N_Carrer,N_CarrerC,N_CarrerC2,NOM_indexOnomastic,DATA_APROV,NOTES_DATA,ParaulaClau_1,ParaulaClau_2,ParaulaClau_3,PAGINA_WIKIPEDIA,BIOGRAFIA_CAT,PAGINA_WIKIPEDIA2
3,000204,00003,CARRERS,C,Carrer,Guerau de Liost,C de Guerau de Liost,Carrer Guerau de Liost,"Bofill i Mates, Jaume",29/07/1987,,Ésser viu,Home,Política,https://ca.wikipedia.org/wiki/Jaume_Bofill_i_Mates,"Jaume Bofill i Mates (Olot, 1878 - Barcelona, 1933). Poeta, polític i periodista conegut amb el pseudònim de Guerau de Liost.",https://ca.wikipedia.org/wiki/Jaume_Bofill_i_Mates
4,000306,00004,CARRERS,C,Carrer,Abat Odó,C de l'Abat Odó,Carrer Abat Odó,"Odó, Abat",,Abans de 1940,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Abat_Odó,"Abat Odó (? - 1010). Bisbe de Girona (995) i abat del monestir de Sant Cugat del Vallès des de l'any 986 fins al 1010. Després de la incursió d'al-Mansur, l'any 985, a causa de la qual moriren l'abat Joan i dotze monjos, i es destruí el cenobi i es cremà l'arxiu, reféu el monestir i el patrimoni, i obtingué una confirmació global dels seus béns del rei franc Lotari (986) i del papa Silvestre II (1002). Morí a la batalla de Guadeira, durant l'expedició catalana a Còrdova.",https://ca.wikipedia.org/wiki/Abat_Odó
5,000408,00005,CARRERS,C,Carrer,Abat Samsó,C de l'Abat Samsó,Carrer Abat Samsó,"Samsó, Miquel",07/03/1939,,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Miquel_Samsó,"Miquel Samsó (Girona, 1430 - ?). Abat de Sant Salvador de Breda (1470 - 1507), diputat eclesiàstic de la Generalitat (nomenat el 22 de juliol de l'any 1470) i president de la Generalitat (1470 - 1473). Després de la mort de Carles de Viana, al setembre de 1461, esclatà la Guerra Civil catalana. S'alineà amb els antijoanistes i l'any 1472 va perdre, per ordre de Joan II, les rendes del monestir que administrava. Joan II va aconseguir entrar a Barcelona el 1472 i obligà els rebels a rendir-li obediència. Després de la signatura de la capitulació de Pedralbes, que posà fi al conflicte armat, l'abat Miquel i el jurista Joan Dusai, que havia estat un dels primers doctrinaris jurídics de la revolució de 1461, s'alinearen al costat del rei atrets per la promesa d'atorgar un perdó general i el respecte de les constitucions i els privilegis que la Generalitat disposava al servei de Catalunya.",https://ca.wikipedia.org/wiki/Miquel_Samsó
6,000500,00006,CARRERS,C,Carrer,Abat Safont,C de l'Abat Safont,Carrer Abat Safont,"Safont i de Ferrer, Joan de",,Abans de 1900,Ésser viu,Home,Religió,https://ca.wikipedia.org/wiki/Joan_de_Safont_i_de_Ferrer,"Joan de Safont i de Ferrer (Besalú, 1789 - Barcelona, 1847). Historiador, filòsof i benedictí. Abat de Sant Pau del Camp. Catedràtic de filosofia en el Col·legi de Sant Pau del Camp fins a l'exclaustració de 1835. A partir d'aquell moment, es dedicà a la docència i la divulgació de les ciències físiques. Organitzà un museu i una biblioteca.",https://ca.wikipedia.org/wiki/Joan_de_Safont_i_de_Ferrer
7,000601,00007,CARRERS,C,Carrer,Abadessa Olzet,C de l'Abadessa Olzet,Carrer Abadessa Olzet,"Olzet, Sor Sobirana d'",25/09/1931,,Ésser viu,Dona,Religió,,"Sor Sobirana d'Olzet (? - 1336). Primera abadessa del monestir de Pedralbes, electa el 3 de maig de 1327.",
9,000805,00009,CARRERS,C,Carrer,Abd el-Kader,C d'Abd el-Kader,Carrer Abd el-Kader,Abd el-Kader,15/11/1950,,Ésser viu,Home,Militar,https://ca.wikipedia.org/wiki/Abd_el-Kader,"Abd el-Kader (Guetna, 1808 - Damasc, 1883). Emir d'Algèria. Emprengué la guerra santa contra França (1832 -1847). El 1837 aconseguí que els francesos li reconeguessin Orà i una part de la província d'Alger. El 1843 els francesos ocuparen tot Algèria i hagué de refugiar-se al Marroc. Vençut a la batalla de l'Isly (1844), s'entregà tres anys més tard als francesos i fou empresonat fins al 1852. En sortir de la presó, es traslladà a Bursa i més tard a Damasc (1855), on visqué d'una pensió que li passava l'Estat francès.",https://ca.wikipedia.org/wiki/Abd_el-Kader
10,000907,00010,CARRERS,C,Carrer,Abdó Terradas,C d'Abdó Terradas,Carrer Abdó Terradas,"Terradas i Pulí, Abdó",21/06/1922,,Ésser viu,Home,Política,,"Abdó Terradas i Pulí (Figueres, 1812 - Medina Sidonia, 1856). Escriptor i polític republicà. Fundà la Societat Patriòtica i començà a difondre un ideari republicà a través d'un fulletó que es convertí en El republicano. Fou alcalde de Figueres el 1842. Es negà a jurar lleialtat a la regència del duc de la Victòria i fou empresonat. S'exilià a Perpinyà i des d'allà envià un famós Pla de la revolució. Tornà a Figueres, però el desterraren a Sigüenza (1844) i tornà a l'exili. Després de la revolució de 1854, fou elegit de nou alcalde de Figueres fins que el capità general Zapatero destituí l'Ajuntament. Anselm Clavé li dedicà l'obra coral La Revolución (1868).",
12,001105,00012,CARRERS,C,Carrer,Manuel Ballbé,C de Manuel Ballbé,Carrer Manuel Ballbé,"Ballbé i Prunés, Manuel",26/03/1982,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Manuel_Ballbé_i_Prunés,"Manuel Ballbé i Prunés (Barcelona, 1920 - 1961) Advocat i jurista. Catedràtic de dret administratiu de les universitats de Múrcia (1945) i de Saragossa (1953). Catedràtic de dret administratiu i ciències econòmiques de la Universitat de Barcelona. Estigué vinculat a moltes institucions de Catalunya i a la Fundació March.",https://ca.wikipedia.org/wiki/Manuel_Ballbé_i_Prunés
19,001900,00020,CARRERS,C,Carrer,Actor Morano,C de l'Actor Morano,Carrer Actor Morano,"Morano Moreno, Francisco",07/07/1942,,Ésser viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/Francisco_Morano_Moreno,"Francisco Morano Moreno (Madrid, 1876 - Barcelona, 1933). Actor teatral. Formà part de la companyia de María Tubau i actuà al Teatre Principal de Barcelona (1893 - 1894). El 1903 creà una companyia pròpia. Com a empresari i director teatral, realitzà representacions en les principals capitals de l'Estat i de l'Argentina.",https://ca.wikipedia.org/wiki/Francisco_Morano_Moreno
20,002006,00021,CARRERS,C,Carrer,Actriu Tubau,C de l'Actriu Tubau,Carrer Actriu Tubau,"Álvarez Tubau, María",07/07/1942,,Ésser viu,Dona,Arts Escèniques,https://ca.wikipedia.org/wiki/María_Álvarez_Tubau,"María Álvarez Tubau (Madrid, 1854 - 1914). Actriu dramàtica. Obtingué molt d'èxit amb la representació de les obres d'Echegaray, Marquina i Dumas fill. En retirar-se, l'any 1904, exercí de professora d'art dramàtic al Conservatori de Madrid.",https://ca.wikipedia.org/wiki/María_Álvarez_Tubau
21,002050,00022,CARRERS,C,Carrer,Adolf Florensa,C d'Adolf Florensa,Carrer Adolf Florensa,"Florensa i Ferrer, Adolf",28/07/1982,,Ésser viu,Home,Arquitectura,https://ca.wikipedia.org/wiki/Adolf_Florensa_i_Ferrer,"Adolf Florensa i Ferrer (Lleida, 1889 - Barcelona, 1968). Arquitecte catedràtic a l'Escola d'Arquitectura de Barcelona i arquitecte municipal.",https://ca.wikipedia.org/wiki/Adolf_Florensa_i_Ferrer
23,002210,00024,GRANS VIES,Av,Avinguda,Adrià Gual,Av d'Adrià Gual,Avinguda Adrià Gual,"Gual i Queralt, Adrià",05/07/1960,,Ésser viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/Adrià_Gual_i_Queralt,"Adrià Gual i Queralt (Barcelona, 1872 - 1943). Autor dramàtic, director d'escena, pintor i pedagog. Fundà el Teatre Íntim. Fou director de l'Escola Catalana d'Art Dramàtic i director artístic de la productora Barcinógrafo (1913). Les seves memòries, Mitja vida de teatre (1960), editades pòstumament, són un document de gran importància. Com a pintor, se centrà en un estil modernista típicament esteticista. Finalment, dedicà el seu esforç a l'escenografia d'obres muntades per ell mateix.",https://ca.wikipedia.org/wiki/Adrià_Gual_i_Queralt
24,002403,00025,CARRERS,C,Carrer,Adrià Margarit,C d'Adrià Margarit,Carrer Adrià Margarit,"Margarit i Coll, Adrià",20/07/1943,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Adrià_Margarit_i_Coll,"Adrià Margarit i Coll (1851 - 1908). Notari. Cofundador, amb el doctor Andreu, de la Societat Urbanitzadora del Tibidabo.",https://ca.wikipedia.org/wiki/Adrià_Margarit_i_Coll
25,002505,00026,PLACES,Pl,Plaça,Adrià,Pl d'Adrià,Plaça Adrià,"Adrià, Publi Eli",05/11/1913,,Ésser viu,Home,Monarquia,,"Publi Eli Adrià (Itàlica, 76 - Baiae, 138). Emperador romà. Filòsof i home d'acció que destacà com a constructor. Aixecà quatre ciutats i construí importants edificis per tot l'Imperi; entre d'altres, la vil·la de Tívoli, el Panteó i el mausoleu d'Adrià, anomenat castell de Sant Angelo a partir del segle VII.",
31,003202,00033,CARRERS,C,Carrer,Anna M. Martínez Sagi,C d'Anna M. Martínez Sagi,Carrer Anna M. Martínez Sagi,"Martínez Sagi, Anna Maria",22/04/2009,,Ésser viu,Dona,Poesia,https://ca.wikipedia.org/wiki/Anna_Maria_Martínez_Sagi,"Anna Maria Martínez Sagi (Barcelona, 1907 - Santpedor, 2000). Poeta, periodista i esportista. L'any 1927 va començar a col·laborar a la revista Mujeres, on va publicar el seu primer llibre de poemes, Caminos, el 1929. Va publicar els seus articles a les revistes i periòdics Imatges, Lectura, La Rambla i El Tiempo de Bogotà. Fou membre de la Junta del Club Femení i d'Esports i de la directiva del Futbol Club Barcelona. Va ser la primera dona directiva d'un club de futbol, a Espanya. L'any 1932 publicà el seu segon llibre de poemes, Inquietud. Exiliada a França s'instal·là a París, on va fer de  dibuixant i pintora de carrer i va treballar com a assessora editorial, feina amb què va contribuir a la descoberta de Françoise Sagan. Va fer de professora de castellà a l'escriptor André Maurois. Emigrà als Estats Units on va continuar escrivint la seva obra poètica. En tornar a Espanya, el 1969, va publicar Laberinto de presencias, una recopilació de l'obra escrita durant aquells anys d'exili.",https://ca.wikipedia.org/wiki/Anna_Maria_Martínez_Sagi
38,003905,00040,CARRERS,C,Carrer,Aguilar,C d'Aguilar,Carrer Aguilar,"Aguilar i d'Alòs, Josep d'",19/11/1929,,Ésser viu,Home,Política,,"Josep d'Aguilar i d'Alòs (segle XVII - XVIII). Polític i militar que participà en la defensa de Barcelona (1705, 1706 i 1714). L'any 1912 es va aprovar la urbanització de la finca Casa Pujol, propietat de Maria Montserrat de Casanovas i de Fargas, i es posà el nom d'Àliga al carrer projectat, situat en el punt més alt del turó que dominava la urbanització. Posteriorment, l'any 1929, per duplicitat amb un carrer d'Hostafrancs, es decidí canviar el nom per Aguilar, per semblança amb l'anterior, que feia referència a un títol del marquès de Monistrol. Aquesta denominació no tenia relació directa amb els terrenys, per la qual cosa, el 1980, es dedicà el carrer a Josep d'Aguilar i d'Alòs.",
41,004125,00043,CARRERS,C,Carrer,Agustí Duran i Sanpere,C d'Agustí Duran i Sanpere,Carrer Agustí Duran i Sanpere,"Duran i Sanpere, Agustí",22/05/1978,,Ésser viu,Home,Història,https://ca.wikipedia.org/wiki/Agustí_Duran_i_Sanpere,"Agustí Duran i Sanpere (Cervera, 1887 - Barcelona, 1975). Historiador, arxiver i arqueòleg. Llicenciat en lletres i doctor en dret. Des de 1912 col·laborà amb el Servei d'Investigacions Arqueològiques. El 1917 s'incorporà i organitzà l'Arxiu Municipal, l'Oficina d'Investigacions i Publicacions, i l'Arxiu Històric de la Ciutat. Dirigí fins al 1957 l'Institut d'Història de Barcelona. Membre de l'Acadèmia de Bones Lletres (1924) ?que presidí entre 1961 i 1963?, de l'Institut d'Estudis Catalans (1942) i de l'Acadèmia de Belles Arts de Sant Jordi (1968). Fou l'organitzador del Museu Etnològic de Cervera.",https://ca.wikipedia.org/wiki/Agustí_Duran_i_Sanpere
42,004205,00044,CARRERS,C,Carrer,Agustí i Milà,C d'Agustí i Milà,Carrer Agustí i Milà,"Agustí i Milà, Jaume",05/09/1907,,Ésser viu,Home,Dret,https://ca.wikipedia.org/wiki/Jaume_Agustí_i_Milà,"Jaume Agustí i Milà (Barcelona, 1817 - 1905). Batxiller en filosofia i lletres, i doctor en teologia i jurisprudència. Assolí alts càrrecs a Puerto Rico, però després del desastre colonial tornà a Barcelona. Contribuí a la restauració de l'església de Sant Andreu, que s'havia enderrocat per defectes de construcció.",https://ca.wikipedia.org/wiki/Jaume_Agustí_i_Milà
43,004307,00045,CARRERS,C,Carrer,Agustina Saragossa,C d'Agustina Saragossa,Carrer Agustina Saragossa,"Saragossa i Domènec, Agustina Raimunda Maria",19/08/1947,,Ésser viu,Dona,Militar,,"Agustina Raimunda Maria Saragossa i Domènec (Barcelona, 1768 - Ceuta, 1857). Heroïna de la guerra del Francès.",
51,005401,00054,CARRERS,C,Carrer,Albareda,C d'Albareda,Carrer Albareda,"Albareda i Gibert, Francesc / Albareda i Petit, Leandre",,Abans de 1900,Ésser viu,Home,Propietat,#N/A,"Originàriament dedicat a Francesc Albareda i Gibert (? - Martorell, 1875). Propietari d'una mujada de terra a l'indret. Posteriorment fou dedicat a Leandre Albareda i Petit (1852 - 1912). Projectista del Cementiri Nou, inaugurat per Rius i Taulet el 1883.",#N/A
53,005707,00056,CARRERS,C,Carrer,Albert Llanas,C d'Albert Llanas,Carrer Albert Llanas,"Llanas i Castells, Albert de Sicília",21/12/1921,,Ésser viu,Home,Arts Escèniques,https://ca.wikipedia.org/wiki/Albert_de_Sicília_Llanas_i_Castells,"Albert de Sicília Llanas i Castells (Barcelona, 1841 - 1915). Autor teatral i figura representativa de la bohèmia de finals de segle. Publicà diverses comèdies de costums de gran èxit i adaptà al català obres de Moratín, Calderón de la Barca i Shakespeare. Titular de la cooperativa de periodistes que construí l'agrupació urbana on es troba aquest carrer.",https://ca.wikipedia.org/wiki/Albert_de_Sicília_Llanas_i_Castells
